Freq,Channel 1,Average
359.62,-81.64,-81.64
360.35,-83.32,-83.32
361.08,-82.97,-82.97
361.82,-81.25,-81.25
362.55,-79.38,-79.38
363.28,-77.73,-77.73
364.01,-76.33,-76.33
364.75,-75.16,-75.16
365.48,-74.2,-74.2
366.21,-73.48,-73.48
366.94,-73.02,-73.02
367.68,-72.86,-72.86
368.41,-72.98,-72.98
369.14,-73.33,-73.33
369.87,-73.85,-73.85
370.61,-74.46,-74.46
371.34,-75.06,-75.06
372.07,-75.46,-75.46
372.8,-75.52,-75.52
373.54,-75.24,-75.24
374.27,-74.76,-74.76
375,-74.2,-74.2
375.73,-73.67,-73.67
376.46,-73.26,-73.26
377.2,-72.96,-72.96
377.93,-72.74,-72.74
378.66,-72.54,-72.54
379.39,-72.31,-72.31
380.13,-71.99,-71.99
380.86,-71.61,-71.61
381.59,-71.15,-71.15
382.32,-70.61,-70.61
383.06,-70.03,-70.03
383.79,-69.45,-69.45
384.52,-68.91,-68.91
385.25,-68.43,-68.43
385.99,-68.01,-68.01
386.72,-67.65,-67.65
387.45,-67.35,-67.35
388.18,-67.11,-67.11
388.92,-66.94,-66.94
389.65,-66.87,-66.87
390.38,-66.86,-66.86
391.11,-66.89,-66.89
391.85,-66.91,-66.91
392.58,-66.93,-66.93
393.31,-66.97,-66.97
394.04,-67.04,-67.04
394.78,-67.15,-67.15
395.51,-67.28,-67.28
396.24,-67.42,-67.42
396.97,-67.58,-67.58
397.71,-67.78,-67.78
398.44,-68.01,-68.01
399.17,-68.27,-68.27
399.9,-68.55,-68.55
400.63,-68.86,-68.86
401.37,-69.2,-69.2
402.1,-69.57,-69.57
402.83,-69.97,-69.97
403.56,-70.4,-70.4
404.3,-70.85,-70.85
405.03,-71.34,-71.34
405.76,-71.88,-71.88
406.49,-72.45,-72.45
407.23,-73.01,-73.01
407.96,-73.57,-73.57
408.69,-74.1,-74.1
409.42,-74.61,-74.61
410.16,-75.15,-75.15
410.89,-75.77,-75.77
411.62,-76.53,-76.53
412.35,-77.48,-77.48
413.09,-78.71,-78.71
413.82,-80.31,-80.31
414.55,-82.31,-82.31
415.28,-84.58,-84.58
416.02,-86.22,-86.22
416.75,-85.64,-85.64
417.48,-83.49,-83.49
418.21,-81.29,-81.29
418.95,-79.41,-79.41
419.68,-78.17,-78.17
420.41,-77.43,-77.43
421.14,-76.9,-76.9
421.88,-76.47,-76.47
422.61,-76.15,-76.15
423.34,-75.9,-75.9
424.07,-75.67,-75.67
424.8,-75.41,-75.41
425.54,-75.08,-75.08
426.27,-74.71,-74.71
427,-74.29,-74.29
427.73,-73.81,-73.81
428.47,-73.31,-73.31
429.2,-72.81,-72.81
429.93,-72.33,-72.33
430.66,-71.92,-71.92
431.4,-71.57,-71.57
432.13,-71.24,-71.24
432.86,-70.92,-70.92
433.59,-70.65,-70.65
434.33,-70.49,-70.49
435.06,-70.47,-70.47
435.79,-70.57,-70.57
436.52,-70.79,-70.79
437.26,-71.13,-71.13
437.99,-71.58,-71.58
438.72,-72.1,-72.1
439.45,-72.64,-72.64
440.19,-73.16,-73.16
440.92,-73.59,-73.59
441.65,-73.79,-73.79
442.38,-73.7,-73.7
443.12,-73.35,-73.35
443.85,-72.8,-72.8
444.58,-72.09,-72.09
445.31,-71.34,-71.34
446.04,-70.61,-70.61
446.78,-69.96,-69.96
447.51,-69.39,-69.39
448.24,-68.92,-68.92
448.97,-68.56,-68.56
449.71,-68.29,-68.29
450.44,-68.09,-68.09
451.17,-67.94,-67.94
451.9,-67.85,-67.85
452.64,-67.82,-67.82
453.37,-67.84,-67.84
454.1,-67.91,-67.91
